"Run_ID","US_ID","Condicao","Repeticao","Ordem","Data_hora","Arquivo_saida","Status","Erro"
"US19_CS_R5","US19","CS","5","98","2026-07-13T17:08:43","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US19_CS_R5\clarification-full.md","Valida",""
"US02_CD_R5","US02","CD","5","99","2026-07-13T17:09:15","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US02_CD_R5\clarification-full.md","Valida",""
"US08_CD_R1","US08","CD","1","100","2026-07-13T17:09:40","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US08_CD_R1\clarification-full.md","Valida",""
"US08_CD_R3","US08","CD","3","101","2026-07-13T17:10:04","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US08_CD_R3\clarification-full.md","Valida",""
"US19_CO_R3","US19","CO","3","102","2026-07-13T17:10:30","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US19_CO_R3\clarification-full.md","Valida",""
"US22_C0_R2","US22","C0","2","103","2026-07-13T17:10:52","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US22_C0_R2\clarification-full.md","Valida",""
"US08_CS_R2","US08","CS","2","104","2026-07-13T17:11:16","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US08_CS_R2\clarification-full.md","Valida",""
"US02_CT_R3","US02","CT","3","105","2026-07-13T17:11:43","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US02_CT_R3\clarification-full.md","Valida",""
"US19_CS_R4","US19","CS","4","106","2026-07-13T17:12:08","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US19_CS_R4\clarification-full.md","Valida",""
"US19_CD_R1","US19","CD","1","107","2026-07-13T17:12:33","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US19_CD_R1\clarification-full.md","Valida",""
"US22_CD_R5","US22","CD","5","108","2026-07-13T17:12:56","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US22_CD_R5\clarification-full.md","Valida",""
"US19_CD_R3","US19","CD","3","109","2026-07-13T17:13:18","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US19_CD_R3\clarification-full.md","Valida",""
"US08_CT_R2","US08","CT","2","110","2026-07-13T17:13:46","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US08_CT_R2\clarification-full.md","Valida",""
"US02_C0_R5","US02","C0","5","111","2026-07-13T17:14:08","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US02_C0_R5\clarification-full.md","Valida",""
"US02_C0_R3","US02","C0","3","112","2026-07-13T17:14:43","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US02_C0_R3\clarification-full.md","Valida",""
"US02_CO_R4","US02","CO","4","113","2026-07-13T17:15:05","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US02_CO_R4\clarification-full.md","Valida",""
"US22_C0_R4","US22","C0","4","114","2026-07-13T17:15:29","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US22_C0_R4\clarification-full.md","Valida",""
"US19_CL_R3","US19","CL","3","115","2026-07-13T17:16:00","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US19_CL_R3\clarification-full.md","Valida",""
"US08_CS_R3","US08","CS","3","116","2026-07-13T17:16:21","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US08_CS_R3\clarification-full.md","Valida",""
"US02_CS_R4","US02","CS","4","117","2026-07-13T17:16:45","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US02_CS_R4\clarification-full.md","Valida",""
"US22_C0_R3","US22","C0","3","118","2026-07-13T17:17:11","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US22_C0_R3\clarification-full.md","Valida",""
"US08_CL_R4","US08","CL","4","119","2026-07-13T17:17:40","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US08_CL_R4\clarification-full.md","Valida",""
"US19_CD_R5","US19","CD","5","120","2026-07-13T17:18:03","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US19_CD_R5\clarification-full.md","Valida",""
